date;time;puls;interval[s];dH/dt[uSv/h];comment
01.01.2010;00:00:00;;;;New timestamp
01.01.2010;00:02:00;0;120;0.000000;
01.01.2010;00:04:00;3;120;0.010437;
01.01.2010;00:06:00;6;120;0.020920;
01.01.2010;00:08:00;9;120;0.030624;
01.01.2010;00:10:00;12;120;0.041153;
01.01.2010;00:12:00;15;120;0.051712;
01.01.2010;00:14:00;18;120;0.062302;
01.01.2010;00:16:00;21;120;0.072922;
01.01.2010;00:18:00;24;120;0.082748;
01.01.2010;00:20:00;27;120;0.093414;
01.01.2010;00:22:00;30;120;0.104111;
01.01.2010;00:24:00;33;120;0.114853;
01.01.2010;00:26:00;36;120;0.125610;
01.01.2010;00:28:00;39;120;0.135559;
01.01.2010;00:30:00;42;120;0.146378;
01.01.2010;00:32:00;45;120;0.157227;
01.01.2010;00:34:00;48;120;0.168106;
01.01.2010;00:36:00;51;120;0.179001;
01.01.2010;00:38:00;54;120;0.189102;
01.01.2010;00:40:00;57;120;0.200058;
01.01.2010;00:42:00;60;120;0.211060;
01.01.2010;00:44:00;63;120;0.222076;
01.01.2010;00:46:00;66;120;0.233124;
01.01.2010;00:48:00;69;120;0.243362;
01.01.2010;00:50:00;72;120;0.254471;
01.01.2010;00:52:00;75;120;0.265610;
01.01.2010;00:54:00;78;120;0.276779;
01.01.2010;00:56:00;81;120;0.287979;
01.01.2010;00:58:00;84;120;0.298355;
01.01.2010;01:00:00;87;120;0.309616;
01.01.2010;01:02:00;90;120;0.320908;
01.01.2010;01:04:00;93;120;0.332245;
01.01.2010;01:06:00;96;120;0.343597;
01.01.2010;01:08:00;99;120;0.354111;
01.01.2010;01:10:00;102;120;0.365524;
01.01.2010;01:12:00;105;120;0.376984;
01.01.2010;01:14:00;108;120;0.388458;
01.01.2010;01:16:00;111;120;0.399979;
01.01.2010;01:18:00;114;120;0.410629;
01.01.2010;01:20:00;117;120;0.422211;
01.01.2010;01:22:00;120;120;0.433823;
01.01.2010;01:24:00;123;120;0.445465;
01.01.2010;01:26:00;126;120;0.457138;
01.01.2010;01:28:00;129;120;0.467941;
01.01.2010;01:30:00;132;120;0.479691;
01.01.2010;01:32:00;135;120;0.491455;
01.01.2010;01:34:00;138;120;0.503265;
01.01.2010;01:36:00;141;120;0.515106;
01.01.2010;01:38:00;144;120;0.526062;
01.01.2010;01:40:00;147;120;0.537964;
01.01.2010;01:42:00;150;120;0.549911;
01.01.2010;01:44:00;153;120;0.561874;
01.01.2010;01:46:00;156;120;0.573883;
01.01.2010;01:48:00;159;120;0.585007;
01.01.2010;01:50:00;162;120;0.597061;
01.01.2010;01:52:00;165;120;0.609177;
01.01.2010;01:54:00;168;120;0.621323;
01.01.2010;01:56:00;171;120;0.633499;
01.01.2010;01:58:00;174;120;0.644775;
01.01.2010;02:00:00;177;120;0.657028;
01.01.2010;02:02:00;180;120;0.669312;
01.01.2010;02:04:00;183;120;0.681610;
01.01.2010;02:06:00;186;120;0.693970;
01.01.2010;02:08:00;189;120;0.705399;
01.01.2010;02:10:00;192;120;0.717819;
01.01.2010;02:12:00;195;120;0.730286;
01.01.2010;02:14:00;198;120;0.742783;
01.01.2010;02:16:00;201;120;0.755310;
01.01.2010;02:18:00;204;120;0.766907;
01.01.2010;02:20:00;207;120;0.779510;
01.01.2010;02:22:00;210;120;0.792145;
01.01.2010;02:24:00;213;120;0.804825;
01.01.2010;02:26:00;216;120;0.817551;
01.01.2010;02:28:00;219;120;0.829315;
01.01.2010;02:30:00;222;120;0.842087;
01.01.2010;02:32:00;225;120;0.854919;
01.01.2010;02:34:00;228;120;0.867783;
01.01.2010;02:36:00;231;120;0.880676;
01.01.2010;02:38:00;234;120;0.892624;
01.01.2010;02:40:00;237;120;0.905594;
01.01.2010;02:42:00;240;120;0.918610;
01.01.2010;02:44:00;243;120;0.931656;
01.01.2010;02:46:00;246;120;0.944748;
01.01.2010;02:48:00;249;120;0.956863;
01.01.2010;02:50:00;252;120;0.970032;
01.01.2010;02:52:00;255;120;0.983246;
01.01.2010;02:54:00;258;120;0.996490;
