date;time;puls;interval[s];dH/dt[uSv/h];comment
01.01.2010;00:00:00;;;;New timestamp
01.01.2010;00:02:00;0;120;0.000000;
01.01.2010;00:04:00;3;120;0.010483;
01.01.2010;00:06:00;6;120;0.021011;
01.01.2010;00:08:00;9;120;0.030746;
01.01.2010;00:10:00;12;120;0.041306;
01.01.2010;00:12:00;15;120;0.051895;
01.01.2010;00:14:00;18;120;0.062515;
01.01.2010;00:16:00;21;120;0.073166;
01.01.2010;00:18:00;24;120;0.083008;
01.01.2010;00:20:00;27;120;0.093704;
01.01.2010;00:22:00;30;120;0.104431;
01.01.2010;00:24:00;33;120;0.115173;
01.01.2010;00:26:00;36;120;0.125946;
01.01.2010;00:28:00;39;120;0.135910;
01.01.2010;00:30:00;42;120;0.146729;
01.01.2010;00:32:00;45;120;0.157578;
01.01.2010;00:34:00;48;120;0.168442;
01.01.2010;00:36:00;51;120;0.179352;
01.01.2010;00:38:00;54;120;0.189438;
01.01.2010;00:40:00;57;120;0.200378;
01.01.2010;00:42:00;60;120;0.211365;
01.01.2010;00:44:00;63;120;0.222366;
01.01.2010;00:46:00;66;120;0.233398;
01.01.2010;00:48:00;69;120;0.243591;
01.01.2010;00:50:00;72;120;0.254684;
01.01.2010;00:52:00;75;120;0.265793;
01.01.2010;00:54:00;78;120;0.276932;
01.01.2010;00:56:00;81;120;0.288101;
01.01.2010;00:58:00;84;120;0.298431;
01.01.2010;01:00:00;87;120;0.309647;
01.01.2010;01:02:00;90;120;0.320892;
01.01.2010;01:04:00;93;120;0.332153;
01.01.2010;01:06:00;96;120;0.343460;
01.01.2010;01:08:00;99;120;0.353912;
01.01.2010;01:10:00;102;120;0.365280;
01.01.2010;01:12:00;105;120;0.376648;
01.01.2010;01:14:00;108;120;0.388062;
01.01.2010;01:16:00;111;120;0.399506;
01.01.2010;01:18:00;114;120;0.410095;
01.01.2010;01:20:00;117;120;0.421585;
01.01.2010;01:22:00;120;120;0.433105;
01.01.2010;01:24:00;123;120;0.444656;
01.01.2010;01:26:00;126;120;0.456238;
01.01.2010;01:28:00;129;120;0.466949;
01.01.2010;01:30:00;132;120;0.478592;
01.01.2010;01:32:00;135;120;0.490250;
01.01.2010;01:34:00;138;120;0.501938;
01.01.2010;01:36:00;141;120;0.513672;
01.01.2010;01:38:00;144;120;0.524521;
01.01.2010;01:40:00;147;120;0.536301;
01.01.2010;01:42:00;150;120;0.548111;
01.01.2010;01:44:00;153;120;0.559952;
01.01.2010;01:46:00;156;120;0.571823;
01.01.2010;01:48:00;159;120;0.582794;
01.01.2010;01:50:00;162;120;0.594742;
01.01.2010;01:52:00;165;120;0.606689;
01.01.2010;01:54:00;168;120;0.618683;
01.01.2010;01:56:00;171;120;0.630707;
01.01.2010;01:58:00;174;120;0.641830;
01.01.2010;02:00:00;177;120;0.653900;
01.01.2010;02:02:00;180;120;0.666016;
01.01.2010;02:04:00;183;120;0.678146;
01.01.2010;02:06:00;186;120;0.690323;
01.01.2010;02:08:00;189;120;0.701584;
01.01.2010;02:10:00;192;120;0.713821;
01.01.2010;02:12:00;195;120;0.726074;
01.01.2010;02:14:00;198;120;0.738373;
01.01.2010;02:16:00;201;120;0.750702;
01.01.2010;02:18:00;204;120;0.762115;
01.01.2010;02:20:00;207;120;0.774490;
01.01.2010;02:22:00;210;120;0.786926;
01.01.2010;02:24:00;213;120;0.799377;
01.01.2010;02:26:00;216;120;0.811844;
01.01.2010;02:28:00;219;120;0.823395;
01.01.2010;02:30:00;222;120;0.835953;
01.01.2010;02:32:00;225;120;0.848526;
01.01.2010;02:34:00;228;120;0.861145;
01.01.2010;02:36:00;231;120;0.873795;
01.01.2010;02:38:00;234;120;0.885498;
01.01.2010;02:40:00;237;120;0.898193;
01.01.2010;02:42:00;240;120;0.910950;
01.01.2010;02:44:00;243;120;0.923721;
01.01.2010;02:46:00;246;120;0.936523;
01.01.2010;02:48:00;249;120;0.948380;
01.01.2010;02:50:00;252;120;0.961258;
01.01.2010;02:52:00;255;120;0.974167;
01.01.2010;02:54:00;258;120;0.987106;
