date;time;puls;interval[s];dH/dt[uSv/h];comment
01.01.2010;00:00:00;;;;New timestamp
01.01.2010;00:02:00;0;120;0.000000;
01.01.2010;00:04:00;3;120;0.010437;
01.01.2010;00:06:00;6;120;0.020920;
01.01.2010;00:08:00;9;120;0.030609;
01.01.2010;00:10:00;12;120;0.041122;
01.01.2010;00:12:00;15;120;0.051666;
01.01.2010;00:14:00;18;120;0.062241;
01.01.2010;00:16:00;21;120;0.072845;
01.01.2010;00:18:00;24;120;0.082642;
01.01.2010;00:20:00;27;120;0.093292;
01.01.2010;00:22:00;30;120;0.103958;
01.01.2010;00:24:00;33;120;0.114655;
01.01.2010;00:26:00;36;120;0.125381;
01.01.2010;00:28:00;39;120;0.135300;
01.01.2010;00:30:00;42;120;0.146072;
01.01.2010;00:32:00;45;120;0.156876;
01.01.2010;00:34:00;48;120;0.167694;
01.01.2010;00:36:00;51;120;0.178543;
01.01.2010;00:38:00;54;120;0.188583;
01.01.2010;00:40:00;57;120;0.199478;
01.01.2010;00:42:00;60;120;0.210403;
01.01.2010;00:44:00;63;120;0.221359;
01.01.2010;00:46:00;66;120;0.232346;
01.01.2010;00:48:00;69;120;0.242493;
01.01.2010;00:50:00;72;120;0.253540;
01.01.2010;00:52:00;75;120;0.264587;
01.01.2010;00:54:00;78;120;0.275681;
01.01.2010;00:56:00;81;120;0.286789;
01.01.2010;00:58:00;84;120;0.297073;
01.01.2010;01:00:00;87;120;0.308228;
01.01.2010;01:02:00;90;120;0.319427;
01.01.2010;01:04:00;93;120;0.330643;
01.01.2010;01:06:00;96;120;0.341888;
01.01.2010;01:08:00;99;120;0.352295;
01.01.2010;01:10:00;102;120;0.363602;
01.01.2010;01:12:00;105;120;0.374924;
01.01.2010;01:14:00;108;120;0.386276;
01.01.2010;01:16:00;111;120;0.397675;
01.01.2010;01:18:00;114;120;0.408203;
01.01.2010;01:20:00;117;120;0.419647;
01.01.2010;01:22:00;120;120;0.431107;
01.01.2010;01:24:00;123;120;0.442612;
01.01.2010;01:26:00;126;120;0.454132;
01.01.2010;01:28:00;129;120;0.464783;
01.01.2010;01:30:00;132;120;0.476379;
01.01.2010;01:32:00;135;120;0.487976;
01.01.2010;01:34:00;138;120;0.499619;
01.01.2010;01:36:00;141;120;0.511292;
01.01.2010;01:38:00;144;120;0.522079;
01.01.2010;01:40:00;147;120;0.533798;
01.01.2010;01:42:00;150;120;0.545563;
01.01.2010;01:44:00;153;120;0.557343;
01.01.2010;01:46:00;156;120;0.569153;
01.01.2010;01:48:00;159;120;0.580078;
01.01.2010;01:50:00;162;120;0.591949;
01.01.2010;01:52:00;165;120;0.603851;
01.01.2010;01:54:00;168;120;0.615768;
01.01.2010;01:56:00;171;120;0.627747;
01.01.2010;01:58:00;174;120;0.638809;
01.01.2010;02:00:00;177;120;0.650818;
01.01.2010;02:02:00;180;120;0.662872;
01.01.2010;02:04:00;183;120;0.674942;
01.01.2010;02:06:00;186;120;0.687057;
01.01.2010;02:08:00;189;120;0.698257;
01.01.2010;02:10:00;192;120;0.710434;
01.01.2010;02:12:00;195;120;0.722626;
01.01.2010;02:14:00;198;120;0.734863;
01.01.2010;02:16:00;201;120;0.747131;
01.01.2010;02:18:00;204;120;0.758484;
01.01.2010;02:20:00;207;120;0.770798;
01.01.2010;02:22:00;210;120;0.783157;
01.01.2010;02:24:00;213;120;0.795547;
01.01.2010;02:26:00;216;120;0.807968;
01.01.2010;02:28:00;219;120;0.819443;
01.01.2010;02:30:00;222;120;0.831940;
01.01.2010;02:32:00;225;120;0.844452;
01.01.2010;02:34:00;228;120;0.856995;
01.01.2010;02:36:00;231;120;0.869583;
01.01.2010;02:38:00;234;120;0.881226;
01.01.2010;02:40:00;237;120;0.893860;
01.01.2010;02:42:00;240;120;0.906540;
01.01.2010;02:44:00;243;120;0.919250;
01.01.2010;02:46:00;246;120;0.931976;
01.01.2010;02:48:00;249;120;0.943771;
01.01.2010;02:50:00;252;120;0.956589;
01.01.2010;02:52:00;255;120;0.969421;
01.01.2010;02:54:00;258;120;0.982285;
